,t_ArticleName,t_Url,t_DOI,t_PublishedDate,t_SourceTitle,t_Authors,t_Type,t_Keyword1,t_Keyword2,t_ID
266,"Primary pediatric keratoplasty: Indications, graft survival, and visual outcome",http://www.sciencedirect.com/science/article/pii/S1091853106005349/pdfft?md5=0f8bf4d0e2ffd3eda2c56d20988b37a9&pid=1-s2.0-S1091853106005349-main.pdf,10.1016/j.jaapos.2006.09.012,2/28/07,Journal of American Association for Pediatric Ophthalmology and Strabismus,Ali Al-Ghamdi & Ali Al-Rajhi & Michael D. Wagoner,Research article,Blunt trauma,Risk factors,12069
267,TOC pages (3A-6A),http://www.sciencedirect.com/science/article/pii/S0039606004003058/pdfft?md5=a6f6d35280bc1bf96064854184fa96a1&pid=1-s2.0-S0039606004003058-main.pdf,10.1016/S0039-6060(04)00305-8,7/31/04,Surgery,CANNOT GET ACCESS,,Hemorrhagic shock,(NO),234242
268,Traumatic Aneurysm of the Posterior Circumflex Humeral Artery: A Volleyball Player's Disease?,http://www.sciencedirect.com/science/article/pii/S1051044393718886/pdfft?md5=77030e816fae6569a7c1db932f08e07a&pid=1-s2.0-S1051044393718886-main.pdf,10.1016/S1051-0443(93)71888-6,5/31/93,Journal of Vascular and Interventional Radiology,Jim A. Reekers & Bernadette M. G. den Hartog & Carolien F. Kuyper & Jan G. Kromhout & Frans L. M. Peeters,Short communication,Blunt trauma,Temperature,131587
269,Percutaneous support devices for high risk or complicated coronary angioplasty,http://www.sciencedirect.com/science/article/pii/S0735109710801974/pdfft?md5=7a7b4d467d9e1629c16f306957d207ae&pid=1-s2.0-S0735109710801974-main.pdf,10.1016/S0735-1097(10)80197-4,3/1/91,Journal of the American College of Cardiology,A. Michael Lincoff & Jeffrey J. Popma & Stephen G. Ellis & Robert A. Vogel & Eric J. Topol,Review article,Blood loss,Neutrophils,22567
270,Use of cyanoacrylate glue as a rescue therapy of a duodenal diverticular rebleeding,http://www.sciencedirect.com/science/article/pii/S0016510711017755/pdfft?md5=c35b7ed87e81f4966e1370c1fe0d2888&pid=1-s2.0-S0016510711017755-main.pdf,10.1016/j.gie.2011.05.048,6/30/12,Gastrointestinal Endoscopy,Roberto Grassia & Teresa Staiano & Elena Iiritano & Guglielmo Bianchi & Federico Buffoli,Short communication,Hemorrhagic shock,(NO),231908
271,<ce:italic>Trichosporon</ce:italic> Fungal Arteritis Causing Rupture of Vascular Anastamosis After Commercial Kidney Transplantation: A Case Report and Review of Literature,http://www.sciencedirect.com/science/article/pii/S0041134511001667/pdfft?md5=a87b763d41c7909651a0ae8a1625f422&pid=1-s2.0-S0041134511001667-main.pdf,10.1016/j.transproceed.2011.01.082,3/31/11,Transplantation Proceedings,R. A. S. Fadhil & H. Al-Thani & Y. Al-Maslamani & O. Ali,Research article,Hemorrhagic shock,(NO),231909
272,Recent references,http://www.sciencedirect.com/science/article/pii/030541799390046B/pdfft?md5=2c5256fc400161fc82e72c9692ca1f39&pid=1-s2.0-030541799390046B-main.pdf,10.1016/0305-4179(93)90046-B,4/30/93,Burns,CANNOT GET ACCESS,,Blood loss,Neutrophils,21887
273,Brown recluse spider bite to the leg,http://www.sciencedirect.com/science/article/pii/S1572346105001224/pdfft?md5=4662aa755955ea3fe1edfdd2da86c4d7&pid=1-s2.0-S1572346105001224-main.pdf,10.1016/j.injury.2005.07.009,2/28/06,Injury Extra,A. Z. Bhatti & A. Adeniran & S. Salam & M. A. Naveed & A. Phillips,Short communication,Disseminated intravascular coagulation,Neutrophils,208602
274,DNA obtained from decomposed corpses cartilage: A comparison with skeleton muscle source,http://www.sciencedirect.com/science/article/pii/S1875176808002394/pdfft?md5=1eca2915ca32b542deec75ec4a1b791d&pid=1-s2.0-S1875176808002394-main.pdf,10.1016/j.fsigss.2007.10.210,8/31/08,Forensic Science International: Genetics Supplement Series,A. Trindade-Filho & C. Mendes & S. Ferreira & S. Oliveira & K. Paula,Research article,Blunt trauma,Testing,103864
275,A randomized controlled trial comparing the hair apposition technique with tissue glue to standard suturing in scalp lacerations (HAT study),http://www.sciencedirect.com/science/article/pii/S0196064402000033/pdfft?md5=c33840e3e644418d99174297fd196807&pid=1-s2.0-S0196064402000033-main.pdf,10.1067/mem.2002.125928,7/31/02,Annals of Emergency Medicine,Marcus Ong Eng Hock & S. B. S. Ooi & S. M. Saw & S. H. Lim,Research article,Blunt trauma,Temperature,131486
276,Yellow fever in the Americas,http://www.sciencedirect.com/science/article/pii/S0891552004000224/pdfft?md5=6119507199b540806e2ed2d8f48e5dd6&pid=1-s2.0-S0891552004000224-main.pdf,10.1016/j.idc.2004.01.007,6/30/04,Infectious Disease Clinics of North America,Charles S Bryan & Sandra W Moss & Richard J Kahn,Review article,Hemorrhagic shock,Diagnosis,33408
277,Unsutured posterior chamber lens implantation in eyes requiring lens extraction at the time of pars plana vitrectomy with silicone oil tamponade,http://www.sciencedirect.com/science/article/pii/S0886335003006503/pdfft?md5=561ff9488195164885b0f5db9a8d450e&pid=1-s2.0-S0886335003006503-main.pdf,10.1016/S0886-3350(03)00650-3,1/31/04,Journal of Cataract & Refractive Surgery,Kamaljit S Balaggan &  MRCOphth & Bruce Dong & Vaughan Tanner & Tom H Williamson,Research article,Blunt trauma,Sodium,24293
278,Congenital sialolipoma of the parotid gland first reported case and review of the literature,http://www.sciencedirect.com/science/article/pii/S0165587604003635/pdfft?md5=aa021e8b518f58960dea6bcebfed01a9&pid=1-s2.0-S0165587604003635-main.pdf,10.1016/j.ijporl.2004.10.014,3/31/05,International Journal of Pediatric Otorhinolaryngology,R. Hornigold & P. R. Morgan & A. Pearce & M. J. Gleeson,Short communication,Blood loss,Neutrophils,19898
279,Infections and cytokines,http://www.sciencedirect.com/science/article/pii/S1198743X14647406/pdfft?md5=17fa14f3c9d63084f22490c342c6df20&pid=1-s2.0-S1198743X14647406-main.pdf,10.1111/j.1469-0691.1999.tb00744.x,3/31/99,Clinical Microbiology and Infection,CANNOT GET ACCESS,,Disseminated intravascular coagulation,Nitric oxide,279994
280,THYROTOXICOSIS TREATED WITH 2-CARBETHOXYTHIO-1-METHYLGLYOXALINE (' NEO MERCAZOLE '),http://www.sciencedirect.com/science/article/pii/S0140673653920054/pdfft?md5=d731c97ce4e2ece338867a797814c32e&pid=1-s2.0-S0140673653920054-main.pdf,10.1016/S0140-6736(53)92005-4,5/2/53,The Lancet,Hugh Poate,Research article,Blood loss,Neutrophils,21015
281,Late onset neurogenic claudication in a case of metallic intradural ballistic fragment,http://www.sciencedirect.com/science/article/pii/S1297319X07000279/pdfft?md5=bb4cd4535517a4680606544b901100cd&pid=1-s2.0-S1297319X07000279-main.pdf,10.1016/j.jbspin.2006.05.016,3/31/07,Joint Bone Spine,Munir Farooq & Shabir A. Dhar & M. Farooq Butt,Short communication,Blunt trauma,Testing,106007
282,Ventricular pseudoaneurysm associated with cardiopulmonary resuscitation 6 weeks after mitral valve replacement,http://www.sciencedirect.com/science/article/pii/0003497589908035/pdfft?md5=b331df485f19cb2ea640cf03bf4bac65&pid=1-s2.0-0003497589908035-main.pdf,10.1016/0003-4975(89)90803-5,11/30/89,The Annals of Thoracic Surgery,G. Chatson & R. Gallagher & D. Quahliero & D. Ruffett & P. Allmendinger,Research article,Blunt trauma,Temperature,131411
283,Adolescent pregnancy,http://www.sciencedirect.com/science/article/pii/0091218279900764/pdfft?md5=8d88f4e1a86e574f6500a494757d270d&pid=1-s2.0-0091218279900764-main.pdf,10.1016/0091-2182(79)90076-4,6/30/79,Journal of Nurse-Midwifery,Margaret Chanis & Nancy O'Donohue & Alicia Stanford,Research article,Hemorrhagic shock,Hemoglobin,94908
284,Refusal of treatment during pregnancy,http://www.sciencedirect.com/science/article/pii/S0095510802000829/pdfft?md5=b93e00f533daa22fae30780570090ae9&pid=1-s2.0-S0095510802000829-main.pdf,10.1016/S0095-5108(02)00082-9,3/31/03,Clinics in Perinatology,Sarah F Adams & Mary B Mahowald & Janet Gallagher,Review article,Disseminated intravascular coagulation,Imaging,41023
285,Contents page + Editorial Board,http://www.sciencedirect.com/science/article/pii/S0165614705001136/pdfft?md5=5beae04ef4ee184f7ba44941a6bc1639&pid=1-s2.0-S0165614705001136-main.pdf,10.1016/S0165-6147(05)00113-6,6/30/05,Trends in Pharmacological Sciences,CANNOT GET ACCESS,,Disseminated intravascular coagulation,(NO),255818
286,Perioperative hypothermia does not enhance the risk of cancer dissemination,http://www.sciencedirect.com/science/article/pii/S0002961005002114/pdfft?md5=a8d94773aa6ffcc2cd0fd01291a5b055&pid=1-s2.0-S0002961005002114-main.pdf,10.1016/j.amjsurg.2005.03.002,6/30/05,The American Journal of Surgery,YÃ_ksel YÃ_cel & Murat Barlan & Rainer Lenhardt & Andrea Kurz & Daniel I. Sessler,Research article,Blood loss,Neutrophils,20315
287,Medicalization of female genital mutilation/cutting,http://www.sciencedirect.com/science/article/pii/S1110570413000271/pdfft?md5=147b6a8f45636f8ac81c9c6459fe6611&pid=1-s2.0-S1110570413000271-main.pdf,10.1016/j.afju.2013.02.004,9/30/13,African Journal of Urology,G. I. Serour,Review article,Hemorrhagic shock,(NO),231918
288,Necrotizing fasciitis of the neck,http://www.sciencedirect.com/science/article/pii/S0194599898703912/pdfft?md5=23e09453dc1543ca769b857d8cbca1d3&pid=1-s2.0-S0194599898703912-main.pdf,10.1016/S0194-5998(98)70391-2,1/31/98,Otolaryngology - Head and Neck Surgery,Nicholas P. Mastros & Michael Broniatowski,Research article,Blunt trauma,Risk factors,10897
289,Managing anaesthetic provision for global disasters,http://www.sciencedirect.com/science/article/pii/S0007091217541239/pdfft?md5=b47f7b7610e3a42a4bd477b1843e8978&pid=1-s2.0-S0007091217541239-main.pdf,10.1093/bja/aex353,12/31/17,British Journal of Anaesthesia,R. M. Craven,Research article,Blunt trauma,Ultrasound,155935
290,<em>Images</em>,http://www.sciencedirect.com/science/article/pii/S1080603299708847/pdfft?md5=2a49d06f25a93297c28045a8bc6ae1c7&pid=1-s2.0-S1080603299708847-main.pdf,10.1580/1080-6032(1999)010[0253:I]2.3.CO;2,12/31/99,Wilderness & Environmental Medicine,Ken Zafren,Short communication,Disseminated intravascular coagulation,Imaging,36701
291,Apoptosis in Rabbit Haemorrhagic Disease,http://www.sciencedirect.com/science/article/pii/S0021997500904031/pdfft?md5=27607d6f850139e36d092e0bc2b450d4&pid=1-s2.0-S0021997500904031-main.pdf,10.1053/jcpa.2000.0403,8/31/00,Journal of Comparative Pathology,J. Y. Jung & B. J. Lee & J. H Tai & J. H Park & Y. S. Lee,Research article,Disseminated intravascular coagulation,Lymphocytes,118633
292,High reliability theory and highly reliable organizations,http://www.sciencedirect.com/science/article/pii/S0001209206603979/pdfft?md5=8577260ca25fb35c6b5c599c3facbe3f&pid=1-s2.0-S0001209206603979-main.pdf,10.1016/S0001-2092(06)60397-9,6/30/05,AORN Journal,Suzanne C. Beyea,Research article,Hemorrhagic shock,(NO),233110
293,Penetrating facial injury: A fortunate functional outcome,http://www.sciencedirect.com/science/article/pii/S019459980901763X/pdfft?md5=1fe77784aab57d5833780b8552b9ee0d&pid=1-s2.0-S019459980901763X-main.pdf,10.1016/j.otohns.2009.11.016,3/31/10,Otolaryngology - Head and Neck Surgery,Brett Levin & Jafri Kuthubutheen & Phillip Fisher,Short communication,Blunt trauma,Testing,105475
294,Skin necrosis after septic shock,http://www.sciencedirect.com/science/article/pii/S2387020618305369/pdfft?md5=b1de1a40aaa545cf7cf90d3505825796&pid=1-s2.0-S2387020618305369-main.pdf,10.1016/j.medcle.2018.12.002,2/1/19,Medicina ClÃ_nica (English Edition),Cristina GarcÃ_a Harana & InÃ©s FernÃ¡ndez Canedo & Magdalena de Troya MartÃ_n,Short communication,Disseminated intravascular coagulation,(NO),251784
295,The Adverse Effect of Perioperative Blood Transfusion in Lung Cancer,http://www.sciencedirect.com/science/article/pii/S0012369215453620/pdfft?md5=22a112d9db24967b638797e899724cc4&pid=1-s2.0-S0012369215453620-main.pdf,10.1378/chest.106.6_Supplement.382S,12/31/94,Chest,Steven Piantadosi & Darroch W. O. Moores & Martin F. McKneally,Research article,Blood loss,Neutrophils,20418
296,Retained and adherent placenta,http://www.sciencedirect.com/science/article/pii/S0002961037901211/pdfft?md5=a0e0cdb20214c0fca792626eb17a6a1a&pid=1-s2.0-S0002961037901211-main.pdf,10.1016/S0002-9610(37)90121-1,2/28/37,The American Journal of Surgery,Alfred C. Beck,Research article,Hemorrhagic shock,Diagnosis,34139
297,Erosion of a retroesophageal subclavian artery by an esophageal prosthesis,http://www.sciencedirect.com/science/article/pii/S0022522306000183/pdfft?md5=729e55584f0e2ea5b00fec28a9d59be9&pid=1-s2.0-S0022522306000183-main.pdf,10.1016/j.jtcvs.2005.12.026,5/31/06,The Journal of Thoracic and Cardiovascular Surgery,FrÃ©dÃ©ric Vanden Eynden & Jacques DeviÃ¨re & Marc Laureys & Didier de CanniÃ¨re,Short communication,Hemorrhagic shock,Imaging,140874
298,"Cost of a saved life following out-of-hospital cardiac arrest resuscitated by specially trained ambulance personnel Jakobsson, J., Nyquist, 0., Rehnqvist, N., Norberg, K: A. Department of Intensive Care, Danderyd Hospita4 S-182 88 Danderyd Sweden ACTA ANAESTHESIOL. SCAND., 31(5) (1987) 426â€“429",http://www.sciencedirect.com/science/article/pii/0300957288900597/pdfft?md5=03e67382517ca8197ef87447870bc870&pid=1-s2.0-0300957288900597-main.pdf,10.1016/0300-9572(88)90059-7,7/31/88,Resuscitation,CANNOT GET ACCESS,,Hemorrhagic shock,Pathologic,317103
299,Esophageal Perforation: An Increasing Challenge,http://www.sciencedirect.com/science/article/pii/S0003497510640106/pdfft?md5=cad4715f32ee8dec04fa5de9422bb258&pid=1-s2.0-S0003497510640106-main.pdf,10.1016/S0003-4975(10)64010-6,3/31/75,The Annals of Thoracic Surgery,John L. Sawyers & Carl E. Lane & John H. Foster & Rollin A. Daniel,Research article,Blunt trauma,Temperature,132363
300,The Visual Outcomes of Macular Hole Surgery: A Registry-Based Study by the Australian and New Zealand Society of Retinal Specialists,http://www.sciencedirect.com/science/article/pii/S2468653018301611/pdfft?md5=aa63ba67dd73dc27440851ff04a74014&pid=1-s2.0-S2468653018301611-main.pdf,10.1016/j.oret.2018.04.022,11/30/18,Ophthalmology Retina,Rohan W. Essex & Alex P. Hunyor & Margarita Moreno-Betancur & John T. O. Yek & Australian and New Zealand Society of Retinal Specialists Macular Hole Study Group,Research article,Blunt trauma,Testing,107577
301,Victims of the vector,http://www.sciencedirect.com/science/article/pii/0002870365900529/pdfft?md5=a3c66615342fdc3a3848e9bf525c62ec&pid=1-s2.0-0002870365900529-main.pdf,10.1016/0002-8703(65)90052-9,2/28/65,American Heart Journal,Paul H. Langner,Short communication,Hemorrhagic shock,Pathologic,317934
302,Study of the response of the area of the palm to impact: Relationship between the physical characteristic of the palm impact and the subject perception of the severity of the palm impact,http://www.sciencedirect.com/science/article/pii/S0169814114000699/pdfft?md5=732113ea624e6816bc7e05cabaebe5ee&pid=1-s2.0-S0169814114000699-main.pdf,10.1016/j.ergon.2014.03.001,7/31/14,International Journal of Industrial Ergonomics,Weihua Ge & Khaled Alkhaledi & David Cochran & Mohamed Amar,Research article,Blunt trauma,Temperature,131902
303,Evidence for Practice,http://www.sciencedirect.com/science/article/pii/S0001209210004655/pdfft?md5=f8ae3add25cf10a99fd2c366ac69792e&pid=1-s2.0-S0001209210004655-main.pdf,10.1016/j.aorn.2010.04.011,7/31/10,AORN Journal,George Allen,Short communication,Blood loss,Neutrophils,18601
304,Apport de lâ€™embolisation curative et prÃ©ventive pour la prise en charge des angiomyolipomes rÃ©naux,http://www.sciencedirect.com/science/article/pii/S1166708710001132/pdfft?md5=e9ba5c37743d488700620afd201591a8&pid=1-s2.0-S1166708710001132-main.pdf,10.1016/j.purol.2010.02.009,10/31/10,ProgrÃ¨s en Urologie,X. Tillou & F. Boutemy & A. Remond & J. Petit,Research article,Hemorrhagic shock,Diagnostic,45237
305,Feasibility and safety of type C2 total extraperitoneal abdominal radical hysterectomy (TEARH) for locally advanced cervical cancer,http://www.sciencedirect.com/science/article/pii/S0090825810012552/pdfft?md5=3f3a65aafba76d0ebd8cda04c2dd6c36&pid=1-s2.0-S0090825810012552-main.pdf,10.1016/j.ygyno.2010.12.348,3/31/11,Gynecologic Oncology,Pierluigi Benedetti Panici & Violante Di Donato & Francesco Plotti & Angela Musella & Filippo Bellati,Research article,Blood loss,Neutrophils,21095
306,A framework for studying mortality arising from critical infrastructure loss,http://www.sciencedirect.com/science/article/pii/S1874548214000237/pdfft?md5=1b2903493cf0c405a4f733544b8e359e&pid=1-s2.0-S1874548214000237-main.pdf,10.1016/j.ijcip.2014.04.002,6/30/14,International Journal of Critical Infrastructure Protection,Athol Yates,Research article,Blunt trauma,Temperature,131064
307,Results of pectoralis major transfer with fascia lata autograft augmentation for scapula winging,http://www.sciencedirect.com/science/article/pii/S105827460200023X/pdfft?md5=969d9150eff34ab8a8a07fc201f9d106&pid=1-s2.0-S105827460200023X-main.pdf,10.1067/mse.2002.124525,8/31/02,Journal of Shoulder and Elbow Surgery,Mayo A. Noerdlinger & Brian J. Cole & Mark Stewart & Melvin Post,Research article,Blunt trauma,Testing,105988
308,litAppendix G. Literature Review: Specular Photographic Microscopy,http://www.sciencedirect.com/science/article/pii/S0161642013320120/pdfft?md5=95785525f836205773b0d64cf2c42760&pid=1-s2.0-S0161642013320120-main.pdf,10.1016/S0161-6420(13)32012-0,8/31/93,Ophthalmology,CANNOT GET ACCESS,,Blunt trauma,Sodium,25013
309,Evaluation of two techniques of partial urethral obstruction in the male rat model of bladder outlet obstruction,http://www.sciencedirect.com/science/article/pii/S0090429505008885/pdfft?md5=9bf6fc3fe6af35bbb8877a565009f900&pid=1-s2.0-S0090429505008885-main.pdf,10.1016/j.urology.2005.06.070,11/30/05,Urology,Arnold Melman & Moses Tar & Judd Boczko & George Christ & Robert G. Russell,Research article,Blood loss,Neutrophils,19983
310,"Subject index, volume 106",http://www.sciencedirect.com/science/article/pii/0002961063901740/pdfft?md5=ddca952d353281f8eb8397b8d30794ad&pid=1-s2.0-0002961063901740-main.pdf,10.1016/0002-9610(63)90174-0,12/31/63,The American Journal of Surgery,CANNOT GET ACCESS,,Hemorrhagic shock,Potassium,293205
311,"Nonâ€“violence-related Workplace Injuries Among Emergency Nurses in the United States: Implications for Improving Safe Practice, Safe Care",http://www.sciencedirect.com/science/article/pii/S0099176711003126/pdfft?md5=ce63febd45e876682bcc3f7f76fa8912&pid=1-s2.0-S0099176711003126-main.pdf,10.1016/j.jen.2011.06.005,11/30/12,Journal of Emergency Nursing,Cydne Perhats & Vicki Keough & Jeanne Fogarty & Nancy L. Hughes & Jason Moretz,Research article,Blunt trauma,Risk factors,9900
312,Contents page + Editorial Board,http://www.sciencedirect.com/science/article/pii/S0165614705000878/pdfft?md5=ef142ee92947c032c387a0af67044fcf&pid=1-s2.0-S0165614705000878-main.pdf,10.1016/S0165-6147(05)00087-8,5/31/05,Trends in Pharmacological Sciences,CANNOT GET ACCESS,,Disseminated intravascular coagulation,(NO),255666
313,ORAL MANIFESTATIONS OF SELECTED SEXUALLY RELATED CONDITIONS,http://www.sciencedirect.com/science/article/pii/S0733863505703582/pdfft?md5=55684df44c0e273bb4b5bb2f7274e557&pid=1-s2.0-S0733863505703582-main.pdf,10.1016/S0733-8635(05)70358-2,4/1/96,Dermatologic Clinics,Geza T. Terezhalmy & Gregory D. Naylor,Research article,Blunt trauma,Temperature,132121
314,Localization of colonic origin of obscure bleeding with the capsule endoscope: A case report,http://www.sciencedirect.com/science/article/pii/S0016510702701363/pdfft?md5=703620fa6e8ffb38617bf7945cc4b1cc&pid=1-s2.0-S0016510702701363-main.pdf,10.1016/S0016-5107(02)70136-3,11/30/02,Gastrointestinal Endoscopy,GÃ©rard Gay & Michel Delvaux & Isaac Fassler & ValÃ©rie Laurent & AndrÃ© Peter,Research article,Hemorrhagic shock,(NO),234224
315,Sales representatives; intermediate-level disinfection; gowning from back tables; cleaning laryngoscope blades; turnover time,http://www.sciencedirect.com/science/article/pii/S0001209206602573/pdfft?md5=999d3058481fb96298b49dc071f43d25&pid=1-s2.0-S0001209206602573-main.pdf,10.1016/S0001-2092(06)60257-3,12/31/05,AORN Journal,Carol Petersen,Research article,Blunt trauma,Temperature,130879
316,Endolaser Treatment of the Ciliary Body for Severe Glaucoma,http://www.sciencedirect.com/science/article/pii/S0161642088329635/pdfft?md5=2b40d4280708ae4b9dd5f8905c934485&pid=1-s2.0-S0161642088329635-main.pdf,10.1016/S0161-6420(88)32963-5,12/31/88,Ophthalmology,Marco A. Zarbin & Ronald G. Michels & Serge de Bustros & Harry A. Quigley & Arun Patel,Research article,Blunt trauma,Ultrasound,157555
317,Fundus in Pseudoxanthoma Elasticum,http://www.sciencedirect.com/science/article/pii/0002939468920692/pdfft?md5=33240fc6f9639ad9604d307bd19ed967&pid=1-s2.0-0002939468920692-main.pdf,10.1016/0002-9394(68)92069-2,8/31/68,American Journal of Ophthalmology,Emanuel Rosen,Research article,Blunt trauma,Sodium,25481
318,Collaboration in Emergency Medicine Research: A Consensus Statement,http://www.sciencedirect.com/science/article/pii/S0196064498703233/pdfft?md5=729d136bbe0a3cfa4a88fa9ff78303dc&pid=1-s2.0-S0196064498703233-main.pdf,10.1016/S0196-0644(98)70323-3,2/28/98,Annals of Emergency Medicine,Lawrence M. Lewis & Michael L. Callaham & Arthur L Kellermann & John A Marx & J. Douglas White,Research article,Hemorrhagic shock,Diagnostic,47087
319,Involvement of the Larynx by Hemopoietic Neoplasms: An Investigation of Autopsy Cases and Review of the Literature,http://www.sciencedirect.com/science/article/pii/S0344033811805625/pdfft?md5=1caf7a752ec1ef15cc1df4a6e02306ce&pid=1-s2.0-S0344033811805625-main.pdf,10.1016/S0344-0338(11)80562-5,3/31/95,Pathology - Research and Practice,H. -P. Horny & E. Kaiserling,Research article,Hemorrhagic shock,Lymphocytes,174755
320,Evaluation of the wound healing effect of some Jordanian traditional medicinal plants formulated in Pluronic F127 using mice (<ce:italic>Mus musculus</ce:italic>),http://www.sciencedirect.com/science/article/pii/S0378874106003473/pdfft?md5=aed25bf23a1a77e4a4887485d113d0c9&pid=1-s2.0-S0378874106003473-main.pdf,10.1016/j.jep.2006.07.010,1/3/07,Journal of Ethnopharmacology,Enam A. Khalil & Fatma U. Afifi & Maysa Al-Hussaini,Research article,Blood loss,Neutrophils,19754
321,An oral surgeon's and pathologist's study of granulomas and radicular cysts,http://www.sciencedirect.com/science/article/pii/S0096634741900212/pdfft?md5=6351ce113681af69c8db1bfb94d766e8&pid=1-s2.0-S0096634741900212-main.pdf,10.1016/S0096-6347(41)90021-2,9/30/41,American Journal of Orthodontics and Oral Surgery,Stephen P Mallett,Research article,Hemorrhagic shock,Diagnosis,34465
322,Prophylactic antibiotics in surgery,http://www.sciencedirect.com/science/article/pii/S0263931906701259/pdfft?md5=a6355bf23aff5aa1659bd2e4460b584f&pid=1-s2.0-S0263931906701259-main.pdf,10.1383/surg.2005.23.8.290,8/1/05,Surgery (Oxford),FG Hampson & EJ Ridgway,Research article,Blood loss,(MODS),3553
323,Traumatic Cataract in Children: Correction of Aphakia by Contact Lens or Intraocular Lens,http://www.sciencedirect.com/science/article/pii/S0002939414711262/pdfft?md5=d9d5a0bb59898c132819328cd4021454&pid=1-s2.0-S0002939414711262-main.pdf,10.1016/S0002-9394(14)71126-2,6/30/97,American Journal of Ophthalmology,DAVID BENEZRA & EVELYNE COHEN & LIONEL ROSE,Research article,Blunt trauma,Ultrasound,156077
324,Abnormalities in Lung Elastic Properties and Surfactant Function in Adult Respiratory Distress Syndrome,http://www.sciencedirect.com/science/article/pii/S0012369216390523/pdfft?md5=5ccfc0029f0749a894c0fe26ea1c5985&pid=1-s2.0-S0012369216390523-main.pdf,10.1378/chest.75.5.571,5/31/79,Chest,Thomas L. Petty & G. Wayne Silvers & George W. Paul & Ray E. Stanford,Research article,Hemorrhagic shock,Pathologic,317278
325,Circumstances surrounding gun violence with youths in an urban setting,http://www.sciencedirect.com/science/article/pii/S002234681930661X/pdfft?md5=6a535c664fe96b49d4ef81b15ea98726&pid=1-s2.0-S002234681930661X-main.pdf,10.1016/j.jpedsurg.2019.09.015,11/1/19,Journal of Pediatric Surgery,Breanna A. Borg & Carolyn B. Krouse & Jennifer S. McLeod & Christina M. Shanti & Lydia Donoghue,Research article,Blunt trauma,Testing,103966
326,"A study of homicidal deaths in medico-legal autopsies at UMMC, Kuala Lumpur",http://www.sciencedirect.com/science/article/pii/S1353113105000477/pdfft?md5=b73ccac39b33bea8ae5d4729d6e6b138&pid=1-s2.0-S1353113105000477-main.pdf,10.1016/j.jcfm.2005.02.007,10/31/05,Journal of Clinical Forensic Medicine,Virendra Kumar & Adeline Khaw Mae Li & Ahmad Zaid Zanial & Ding Ai Lee & Syahrul Anuar Salleh,Research article,Blunt trauma,Risk factors,9559
327,"Traumatic brain injury mortality among U.S. children and adolescents ages 0â€“19â€¯years, 1999â€“2017",http://www.sciencedirect.com/science/article/pii/S0022437519306711/pdfft?md5=175efb1799567e32a056e048d7f43a41&pid=1-s2.0-S0022437519306711-main.pdf,10.1016/j.jsr.2019.12.013,2/29/20,Journal of Safety Research,Peixia Cheng & Ruotong Li & David C. Schwebel & Motao Zhu & Guoqing Hu,Research article,Blunt trauma,Risk factors,10466
328,Surgical research in the U.S. Air Force,http://www.sciencedirect.com/science/article/pii/002248046890053X/pdfft?md5=4245d1c413977abdf668e2f37031022d&pid=1-s2.0-002248046890053X-main.pdf,10.1016/0022-4804(68)90053-X,8/31/68,Journal of Surgical Research,Thomas F. Camp & Gerald Klebanoff & David B. Skinner,Short communication,Hemorrhagic shock,Pathologic,318315
329,Endoscopic ophthalmic surgery of the anterior segment,http://www.sciencedirect.com/science/article/pii/S0039625713000969/pdfft?md5=6584d0b4b6960214ad6031e5b8edba88&pid=1-s2.0-S0039625713000969-main.pdf,10.1016/j.survophthal.2013.03.010,4/30/14,Survey of Ophthalmology,Brian A. Francis & Julie Kwon & Ronald Fellman & Robert Noecker & Henry Jampel,Research article,Blunt trauma,Ultrasound,157435
330,Hidradenitis Suppurativa,http://www.sciencedirect.com/science/article/pii/S0733863510001221/pdfft?md5=53fa5b6f45a41102339b3b96d25fd43a&pid=1-s2.0-S0733863510001221-main.pdf,10.1016/j.det.2010.07.003,10/31/10,Dermatologic Clinics,F. William Danby & Lynette J. Margesson,Review article,Blood loss,Neutrophils,22073
331,A retrospective review of required projects in systems-based practice in a single anesthesiology residency: a 10-year experience,http://www.sciencedirect.com/science/article/pii/S0952818015001944/pdfft?md5=87551083d657d2a57ff6c1aadd5ee2c6&pid=1-s2.0-S0952818015001944-main.pdf,10.1016/j.jclinane.2015.06.009,9/30/15,Journal of Clinical Anesthesia,Tetsuro Sakai & Trent D. Emerick & Rita M. Patel,Research article,Disseminated intravascular coagulation,(NO),255084
332,Alfred Blalock,http://www.sciencedirect.com/science/article/pii/S0149794401005049/pdfft?md5=88d39eedf86c7f812b2a109cbff4c599&pid=1-s2.0-S0149794401005049-main.pdf,10.1016/S0149-7944(01)00504-9,12/31/01,Current Surgery,Corey Magnell & Mark A. Hardy,Research article,Hemorrhagic shock,(NO),234129
333,The impact of educational intervention for providing disaster survival kit: Applying precaution adoption process model,http://www.sciencedirect.com/science/article/pii/S2212420914000983/pdfft?md5=225240bccc0d33a64fa7af3eb84c0568&pid=1-s2.0-S2212420914000983-main.pdf,10.1016/j.ijdrr.2014.10.012,12/31/14,International Journal of Disaster Risk Reduction,Khalil Jassempour & Kambiz Karimzadeh Shirazi & Mohammad Fararooei & Mohsen Shams & Alireza Raygan Shirazi,Research article,Blunt trauma,Testing,107134
